 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
   73 JORDAO           92.00     92.00     94.00    111.00    109.00    124.00     76.00     48.00    100.00    222.00    122.00    110.00
   74 G.B.MUNHOZ      494.00    530.00    568.00    537.00    472.00    544.00    238.00    175.00    475.00   1468.00    638.00    563.00
   75 SEGREDO         647.00    685.00    728.00    727.00    657.00    757.00    374.00    258.00    661.00   1878.00    923.00    746.00
   76 SEGREDO         565.00    603.00    644.00    626.00    558.00    643.00    308.00    220.00    571.00   1705.00    811.00    646.00
   77 SLT.SANTIAG     734.00    774.00    812.00    843.00    768.00    892.00    437.00    299.00    790.00   2155.00   1084.00    851.00
   78 SALTO OSORI     765.00    806.00    848.00    883.00    807.00    936.00    463.00    309.00    836.00   2231.00   1159.00    892.00
   80 SAO JOAO         43.00     46.00     47.00     59.00     60.00     69.00     28.00     18.00     69.00    138.00     76.00     54.00
   81 BAIXO IGUAC    1026.00   1079.00   1132.00   1230.00   1161.00   1344.00    630.00    418.00   1226.00   3060.00   1610.00   1234.00
   83 CACHOEIRINH      47.00     50.00     50.00     63.00     64.00     73.00     30.00     19.00     73.00    148.00     82.00     58.00
   85 PAI QUERE        88.00    111.00     99.00    121.00    112.00    120.00    210.00    148.00    287.00    171.00    147.00    104.00
   88 SAO ROQUE       121.00    159.00    112.00     94.00    131.00    148.00    113.00    101.00    417.00    266.00    209.00    144.00
   89 GARIBALDI       397.00    324.00    288.00    244.00    212.00    170.00    160.00    136.00    513.00    325.00    255.00    323.00
   92 ITA            1277.00   1061.00    924.00    897.00    822.00    674.00    882.00    661.00   1752.00   1518.00   1098.00   1145.00
   93 PASSO FUNDO      65.00     42.00     39.00     46.00     46.00     42.00     45.00     38.00    109.00    105.00     88.00     72.00
   94 FOZ CHAPECO    1547.00   1256.00   1112.00   1099.00   1016.00    844.00   1053.00    814.00   2245.00   2197.00   1539.00   1440.00
   97 MONTE CLARO     301.00    252.00    212.00    224.00    201.00    192.00    518.00    362.00    527.00    529.00    351.00    284.00
   98 CASTRO ALVE     175.00    150.00    125.00    128.00    107.00    105.00    371.00    229.00    337.00    377.00    212.00    153.00
   99 ESPORA           78.00     74.00     66.00     55.00     46.00     40.00     54.00     52.00     55.00     69.00     93.00     87.00
  100 CUBATAO           5.00      5.00      5.00      4.00      3.00      3.00      4.00      3.00      4.00      5.00      5.00      6.00
  101 SALTO PILAO     210.00    166.00    143.00     97.00     78.00     57.00     34.00     45.00    180.00    113.00     62.00    151.00
  102 SAO JOSE        299.00    177.00    165.00    239.00    205.00    177.00    192.00    128.00    295.00    279.00    573.00    340.00
  103 PASSO SAO J     312.00    184.00    172.00    247.00    213.00    183.00    200.00    132.00    304.00    289.00    595.00    353.00
  104 TRAICAO          30.00     32.00     26.00     17.00     15.00     14.00     28.00     29.00     31.00     48.00     42.00     30.00
  109 PEDREIRA         17.00     18.00     14.00     10.00      8.00      7.00     13.00     13.00     14.00     24.00     21.00     18.00
  110 ERNESTINA        39.00     25.00     22.00     27.00     23.00     20.00     43.00     50.00     79.00     63.00     57.00     39.00
  111 PASSO REAL      253.00    152.00    143.00    178.00    162.00    143.00    244.00    194.00    370.00    313.00    379.00    275.00
  112 JACUI           257.00    154.00    144.00    180.00    164.00    145.00    248.00    196.00    375.00    316.00    384.00    278.00
  113 ITAUBA          317.00    192.00    180.00    229.00    208.00    184.00    333.00    249.00    487.00    380.00    505.00    347.00
  114 D.FRANCISCA     386.00    238.00    225.00    292.00    254.00    235.00    425.00    308.00    612.00    452.00    634.00    419.00
  115 G.P.SOUZA        46.00     33.00     32.00     23.00     14.00     10.00     15.00     14.00      9.00     27.00     21.00     33.00
  116 HENRY BORDE       5.00      5.00      3.00      2.00      2.00      2.00      3.00      3.00      3.00      5.00      5.00      5.00
  117 GUARAPIRANG      13.00     14.00     11.00      8.00      6.00      6.00     15.00     16.00     17.00     24.00     21.00     13.00
  118 BILLINGS         17.00     18.00     14.00     10.00      8.00      7.00     13.00     13.00     14.00     24.00     21.00     18.00
  119 BILLINGS         25.00     26.00     20.00     13.00     10.00      9.00     16.00     16.00     17.00     29.00     26.00     25.00
  120 JAGUARI          30.00     34.00     28.00     20.00     17.00     16.00      9.00     12.00      9.00     19.00     16.00     28.00
  121 PARAIBUNA        69.00     78.00     63.00     47.00     39.00     35.00     32.00     39.00     34.00     58.00     85.00     67.00
  122 SANTA BRANC      79.00     90.00     71.00     53.00     45.00     40.00     35.00     43.00     37.00     65.00     96.00     75.00
  123 FUNIL           248.00    280.00    236.00    162.00    122.00    108.00     76.00    103.00     79.00    154.00    227.00    226.00
  125 STA CECILIA     325.00    363.00    301.00    204.00    154.00    135.00     89.00    120.00     93.00    176.00    284.00    295.00
  126 SIMPLICIO       340.00    340.00    277.00    160.00     99.00     69.00     24.00     48.00     37.00     71.00    219.00    313.00
  127 ANTA_ARTF       444.00    483.00    367.00    250.00    189.00    159.00    114.00    138.00    127.00    161.00    309.00    403.00
  129 ANTA            631.00    672.00    550.00    387.00    298.00    254.00    182.00    219.00    191.00    282.00    489.00    588.00
  130 I. POMBOS       705.00    753.00    615.00    431.00    329.00    280.00    216.00    256.00    228.00    312.00    531.00    657.00
  131 NILO PECANH     144.00    144.00    144.00    126.00    101.00     89.00     60.00     77.00     60.00    113.00    144.00    144.00
  132 LAJES            23.00     24.00     20.00     15.00     11.00      8.00     11.00      6.00      6.00     11.00     20.00     22.00
  134 SALTO GRAND     193.00    166.00    130.00     94.00     73.00     61.00     40.00     38.00     36.00     48.00    134.00    214.00
  135 BARRA BRAUN     137.00    133.00     98.00     69.00     57.00     49.00     67.00     59.00     60.00     70.00    109.00    146.00
  141 BAGUARI         680.00    590.00    454.00    344.00    279.00    239.00    159.00    167.00    139.00    172.00    399.00    754.00
  144 MASCARENHAS    1217.00   1007.00    771.00    577.00    451.00    381.00    278.00    283.00    221.00    254.00    567.00   1363.00
  145 RONDON II       133.00    139.00    147.00     99.00     70.00     55.00     64.00     61.00     56.00     77.00     93.00    108.00
  148 AIMORES        1045.00    868.00    664.00    497.00    390.00    330.00    238.00    244.00    193.00    225.00    509.00   1169.00
  149 CANDONGA        177.00    160.00    125.00     93.00     77.00     69.00     41.00     51.00     44.00     57.00    123.00    191.00
  154 SAO DOMINGO      99.00    109.00     93.00     79.00     79.00     74.00    125.00    119.00    131.00    135.00    123.00    111.00
  155 RETIRO BAIX     214.00    195.00    146.00     93.00     69.00     57.00     32.00     35.00     37.00     44.00     93.00    208.00
  156 TRES MARIAS     950.00    943.00    685.00    439.00    284.00    216.00     80.00     72.00     68.00    161.00    730.00    919.00
  158 QUEIMADO         53.00     58.00     53.00     40.00     30.00     25.00     14.00     12.00     11.00     14.00     38.00     65.00
  160 ALTO TIETÊ        7.00      8.00      7.00      5.00      4.00      4.00      4.00      4.00      4.00      8.00      8.00      8.00
  161 E.SOUZA         117.00    130.00    100.00     64.00     53.00     50.00     44.00     56.00     66.00    113.00    106.00    110.00
  164 E.SOUZA          86.00     98.00     74.00     46.00     38.00     37.00     16.00     27.00     35.00     65.00     64.00     81.00
  168 SOBRADINHO     2447.00   1677.00   1345.00    902.00    567.00    427.00    348.00    352.00    330.00    345.00    980.00   1430.00
  169 SOBRADINHO     3501.00   2421.00   1871.00   1243.00    781.00    589.00    458.00    435.00    396.00    455.00   1319.00   1974.00
  171 ITAPARICA F      81.00     70.00     88.00     64.00     22.00      7.00      0.00      0.00      0.00      0.00      0.00     49.00
  172 ITAPARICA      3527.00   2490.00   1994.00   1370.00    860.00    619.00    461.00    434.00    402.00    445.00   1194.00   1927.00
  173 MOXOTO         3527.00   2490.00   1994.00   1370.00    860.00    619.00    461.00    434.00    402.00    445.00   1194.00   1927.00
  175 P.AFONSO 12    3527.00   2490.00   1994.00   1370.00    860.00    619.00    461.00    434.00    402.00    445.00   1194.00   1927.00
  176 COMP. MOXOT    3527.00   2490.00   1994.00   1370.00    860.00    619.00    461.00    434.00    402.00    445.00   1194.00   1927.00
  178 XINGO          3526.00   2490.00   1994.00   1370.00    861.00    619.00    462.00    433.00    405.00    441.00   1130.00   1926.00
  183 SA CARVALHO     108.00     88.00     69.00     49.00     39.00     34.00     25.00     27.00     23.00     33.00     67.00    119.00
  187 COUTO MAGAL      80.00     87.00     75.00     60.00     56.00     50.00     68.00     62.00     61.00     68.00     86.00     94.00
  188 ITAPEBI         616.00    297.00    197.00    113.00     71.00     63.00     40.00     33.00     25.00     27.00    218.00    519.00
  190 B. ESPERANC     493.00    361.00    307.00    226.00    153.00    117.00    218.00    195.00    193.00    233.00    260.00    314.00
  191 CANA BRAVA     1040.00   1256.00   1016.00    698.00    402.00    281.00    183.00    144.00    125.00    209.00    552.00    980.00
  196 ROSAL            41.00     32.00     28.00     22.00     17.00     13.00     16.00     18.00     12.00     16.00     47.00     49.00
  197 PICADA           42.00     44.00     35.00     25.00     20.00     18.00     12.00     15.00     14.00     20.00     38.00     41.00
  198 SOBRAGI          84.00     87.00     69.00     49.00     41.00     36.00     31.00     35.00     32.00     35.00     67.00     86.00
  199 ITAOCARA I      739.00    791.00    648.00    455.00    347.00    295.00    226.00    268.00    239.00    327.00    556.00    685.00
  201 TOCOS            16.00     18.00     14.00     11.00      8.00      6.00      8.00      4.00      4.00      8.00     14.00     15.00
  202 LAJES             7.00      6.00      6.00      4.00      3.00      2.00      3.00      2.00      2.00      3.00      6.00      7.00
  203 SANTANA          27.00     29.00     23.00     18.00     13.00     10.00     12.00      6.00      6.00     11.00     20.00     25.00
  204 CACH.CALDEI     448.00   1009.00   1540.00   1836.00   1911.00   1601.00   1466.00    880.00    551.00    251.00    173.00    189.00
  205 CORUMBA IV      209.00    205.00    185.00    143.00     91.00     64.00     36.00     32.00     25.00     52.00    120.00    198.00
  206 MIRANDA         580.00    522.00    443.00    328.00    228.00    173.00     92.00     79.00     75.00    131.00    409.00    534.00
  207 CAPIM BRANC     591.00    533.00    451.00    335.00    232.00    176.00     92.00     80.00     76.00    132.00    409.00    542.00
  209 CORUMBA I       722.00    708.00    643.00    486.00    310.00    223.00    133.00    109.00     93.00    152.00    449.00    681.00
  211 FUNIL-GRAND     567.00    448.00    357.00    241.00    179.00    145.00     77.00     96.00     84.00    129.00    241.00    530.00
  215 BARRA GRAND     340.00    292.00    242.00    238.00    211.00    173.00    394.00    278.00    540.00    321.00    277.00    295.00
  216 CAMPOS NOVO     430.00    351.00    312.00    269.00    236.00    189.00    194.00    153.00    587.00    375.00    298.00    354.00
  217 MACHADINHO      938.00    785.00    676.00    635.00    571.00    462.00    736.00    553.00   1358.00    935.00    807.00    810.00
  220 MONJOLINHO      114.00     72.00     69.00     80.00     81.00     72.00     77.00     66.00    188.00    178.00    151.00    125.00
  222 SALTO CAXIA     948.00    998.00   1047.00   1139.00   1075.00   1243.00    583.00    387.00   1134.00   2831.00   1490.00   1142.00
  225 SLT APIACAS     250.00    336.00    314.00    223.00    120.00     48.00     40.00     25.00     20.00     31.00     76.00    179.00
  227 SINOP          1347.00   1644.00   1776.00   1533.00   1014.00    690.00    473.00    385.00    367.00    473.00    656.00    940.00
  228 COLIDER        1472.00   1796.00   1941.00   1676.00   1108.00    754.00    528.00    431.00    412.00    512.00    753.00   1026.00
  229 TELES PIRES    3436.00   4383.00   4908.00   4273.00   2633.00   1546.00    888.00    684.00    560.00    810.00   1351.00   2220.00
  230 SAO MANOEL     3467.00   4423.00   4952.00   4312.00   2657.00   1559.00    894.00    688.00    561.00    811.00   1348.00   2241.00
  237 BARRA BONIT     726.00    681.00    522.00    333.00    268.00    260.00    144.00    227.00    192.00    352.00    453.00    636.00
  238 A.S.LIMA        806.00    760.00    584.00    376.00    302.00    294.00    175.00    269.00    227.00    406.00    494.00    704.00
  239 IBITINGA        949.00    892.00    690.00    458.00    370.00    357.00    234.00    348.00    294.00    511.00    580.00    840.00
  240 PROMISSAO      1134.00   1069.00    836.00    550.00    446.00    429.00    291.00    411.00    372.00    628.00    691.00   1002.00
  241 SALTO DO RI     254.00    245.00    223.00    175.00    139.00    116.00    109.00    102.00    106.00    140.00    293.00    279.00
  242 NAVANHANDAV    1217.00   1150.00    896.00    588.00    473.00    456.00    313.00    435.00    402.00    673.00    729.00   1068.00
  243 T.IRMAOS       1273.00   1225.00    965.00    643.00    506.00    491.00    324.00    438.00    415.00    685.00    702.00   1115.00
  244 I.SOLT. EQV    9855.00   9267.00   7909.00   5748.00   4060.00   3305.00   2313.00   2318.00   2276.00   3491.00   6992.00   8878.00
  245 JUPIA         10261.00   9667.00   8244.00   6027.00   4304.00   3533.00   2757.00   2639.00   2642.00   3893.00   7390.00   9297.00
  246 P.PRIMAVERA   11112.00  10641.00   9105.00   6817.00   4993.00   4199.00   3526.00   3395.00   3596.00   5001.00   7872.00  10132.00
  247 CACU            277.00    276.00    254.00    191.00    136.00    103.00     90.00     75.00     77.00    117.00    274.00    287.00
  248 BARRA DOS C     288.00    287.00    265.00    199.00    142.00    108.00     94.00     79.00     80.00    121.00    285.00    299.00
  249 OURINHOS        352.00    331.00    306.00    338.00    304.00    311.00    175.00    227.00    214.00    287.00    221.00    306.00
  251 SERRA FACAO     307.00    273.00    247.00    182.00    116.00     85.00     43.00     42.00     36.00     52.00    258.00    296.00
  252 ITIQUIRA II      67.00     80.00     69.00     53.00     43.00     37.00     53.00     47.00     47.00     65.00     82.00     67.00
  253 SAO SALVADO    1142.00   1385.00   1131.00    789.00    451.00    308.00    198.00    157.00    133.00    222.00    581.00   1078.00
  254 P.CAVALO        122.00     79.00     63.00     44.00     28.00     21.00     20.00      9.00      4.00      3.00      3.00    118.00
  255 IRAPE           225.00    162.00    127.00     77.00     44.00     34.00     11.00     11.00     11.00     23.00    107.00    295.00
  257 PEIXE ANGIC    2032.00   2439.00   2041.00   1402.00    756.00    500.00    311.00    251.00    195.00    346.00    866.00   1923.00
  258 MURTA           268.00    197.00    149.00     91.00     53.00     39.00     15.00     14.00     13.00     24.00    121.00    353.00
  259 ITIQUIRA I       67.00     80.00     69.00     53.00     43.00     37.00     53.00     47.00     47.00     65.00     82.00     67.00
  261 FOZ DO RIO      309.00    308.00    283.00    214.00    152.00    116.00    101.00     84.00     85.00    130.00    301.00    320.00
  262 GUILMAN-AMO      99.00     80.00     63.00     45.00     36.00     31.00     22.00     24.00     22.00     31.00     63.00    109.00
  263 P. ESTRELA      201.00    173.00    135.00     99.00     76.00     63.00     42.00     40.00     37.00     49.00    137.00    222.00
  265 TRAIRA           44.00     37.00     29.00     24.00     20.00     17.00     13.00     13.00      9.00      9.00     19.00     51.00
  266 ITAIPU        14879.00  14256.00  12819.00  11063.00   9195.00   8584.00   6049.00   6249.00   6681.00  10916.00  12489.00  13768.00
  267 BAU I           267.00    199.00    171.00    144.00    115.00    100.00     41.00     51.00     44.00     57.00    122.00    280.00
  269 BALBINA         327.00    590.00    761.00    998.00   1127.00   1058.00    636.00    309.00    257.00    158.00    375.00    243.00
  270 SERRA MESA      931.00   1127.00    910.00    624.00    357.00    249.00    168.00    132.00    117.00    194.00    518.00    880.00
  271 ESTREITO TO    5231.00   6068.00   7415.00   6004.00   2879.00   1448.00    984.00    866.00    706.00   1061.00   1902.00   3889.00
  273 LAJEADO        2898.00   3552.00   3114.00   2248.00   1201.00    719.00    436.00    353.00    262.00    456.00   1111.00   2622.00
  274 S. QUEBRADA    4676.00   6103.00   5674.00   4737.00   2941.00   1717.00    939.00    697.00    534.00    737.00   1686.00   4025.00
  275 TUCURUI       11505.00  15092.00  20338.00  19765.00  10960.00   4530.00   2464.00   1741.00   1359.00   1589.00   3427.00   6987.00
  276 SANTA ISABE    5036.00   7465.00  10660.00  10904.00   6205.00   2273.00   1287.00    881.00    696.00    719.00   1470.00   2745.00
  277 CURUA-UNA       136.00    220.00    360.00    426.00    395.00    251.00    167.00    124.00    118.00     90.00    105.00    106.00
  278 MANSO           201.00    242.00    198.00    128.00     78.00     59.00     56.00     53.00     57.00     85.00    140.00    174.00
  279 SAMUEL          542.00    762.00    832.00    678.00    412.00    208.00     56.00     98.00     44.00     57.00    246.00    296.00
  280 COARACY NUN     449.00   1011.00   1544.00   1841.00   1916.00   1605.00   1471.00    884.00    553.00    252.00    173.00    189.00
  281 PONTE PEDRA      57.00     64.00     56.00     50.00     49.00     46.00     73.00     71.00     70.00     84.00     95.00     67.00
  282 OLHO DAGUA       65.00     74.00     65.00     53.00     47.00     43.00     66.00     64.00     67.00     85.00    114.00     72.00
  283 STA CLARA M     115.00     85.00     73.00     62.00     46.00     39.00     16.00      8.00      8.00      8.00     58.00    152.00
  284 14 DE JULHO     310.00    260.00    221.00    232.00    208.00    198.00    537.00    380.00    551.00    545.00    371.00    294.00
  285 JIRAU         26718.00  31195.00  34519.00  30272.00  23168.00  15515.00   9712.00   6296.00   4634.00   5745.00  13277.00  19548.00
  286 QUEBRA QUEI     105.00     81.00     77.00     73.00     70.00     57.00     38.00     34.00     81.00    185.00     88.00     98.00
  287 STO ANTONIO   27113.00  31647.00  35040.00  30741.00  23528.00  15761.00  10037.00   6429.00   4749.00   5647.00  13157.00  19832.00
  288 PIMENTAL       7635.00  13969.00  20358.00  22458.00  15766.00   6920.00   2385.00   1300.00    965.00    937.00   1569.00   3461.00
  289 ITUMIRIM         61.00     71.00     78.00     62.00     50.00     41.00     44.00     42.00     44.00     56.00     75.00     51.00
  290 STO ANT JAR     581.00   1087.00   1394.00   1785.00   2025.00   2096.00   1865.00   1132.00    728.00    419.00    253.00    285.00
  291 DARDANELOS      565.00    760.00    818.00    647.00    408.00    183.00    118.00     70.00     59.00     95.00    170.00    278.00
  292 BELO MONTE     6535.00  12369.00  13900.00  13900.00  11766.00   4920.00   1185.00    400.00    215.00    237.00    769.00   2561.00
  293 BELO MONTE     1661.00   3518.00   8408.00  12342.00   6360.00   2370.00   1367.00    991.00    818.00    766.00    910.00   1051.00
  294 SALTO           234.00    225.00    205.00    160.00    127.00    106.00    100.00     94.00     98.00    130.00    274.00    256.00
  295 JAURU            64.00     72.00     68.00     57.00     54.00     51.00     68.00     66.00     66.00     69.00     79.00     73.00
  296 GUAPORE          40.00     38.00     38.00     33.00     30.00     27.00     32.00     31.00     31.00     33.00     40.00     40.00
  297 FERREIRA GO     453.00   1021.00   1557.00   1858.00   1933.00   1619.00   1484.00    892.00    559.00    255.00    174.00    192.00
  298 STA CECILIA     160.00    160.00    160.00    119.00     96.00     85.00     56.00     75.00     58.00    110.00    160.00    160.00
  299 I. POMBOS       518.00    564.00    432.00    294.00    220.00    185.00    148.00    175.00    164.00    191.00    351.00    472.00
  300 VIGARIO           0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  301 BILLINGS AN      20.00     21.00     17.00     11.00      8.00      7.00     13.00     13.00     14.00     24.00     21.00     20.00
  302 PIMENTAL AR    1100.00   1600.00   6458.00   8558.00   4000.00   2000.00   1200.00    900.00    750.00    700.00    800.00    900.00
  303 FONTES           44.00     44.00     42.00     15.00     11.00      8.00     11.00      6.00      6.00     11.00     39.00     43.00
  304 SANTANA           0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  306 P. PASSOS       188.00    188.00    186.00    141.00    112.00     97.00     71.00     83.00     66.00    124.00    183.00    187.00
  313 ITAGUACU        211.00    253.00    222.00    166.00    126.00    100.00    129.00    112.00    115.00    142.00    184.00    217.00
  314 ITAOCARA I      611.00    655.00    529.00    346.00    245.00    207.00    158.00    187.00    175.00    206.00    376.00    530.00
  315 SANTANA         171.00    171.00    169.00    126.00    101.00     89.00     60.00     77.00     60.00    113.00    166.00    170.00
  316 VIGARIO         171.00    171.00    169.00    126.00    101.00     89.00     60.00     77.00     60.00    113.00    166.00    170.00
  317 TOCOS             0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  318 HENRY BORDE      46.00     50.00     38.00     26.00     20.00     19.00     33.00     35.00     38.00     60.00     53.00     46.00
  319 BILLINGS         39.00     42.00     33.00     22.00     19.00     17.00     30.00     32.00     34.00     54.00     48.00     38.00
  320 BILLINGS_PE      20.00     22.00     17.00     11.00      8.00      8.00     16.00     16.00     17.00     29.00     26.00     21.00
