 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
   31 ITUMBIARA      2067.00   1583.00   1701.00   1192.00    714.00    558.00    428.00    367.00    347.00    644.00    984.00   1774.00
   32 CACH.DOURAD    2164.00   1693.00   1844.00   1301.00    769.00    601.00    462.00    395.00    370.00    678.00   1031.00   1856.00
   33 SAO SIMAO      3104.00   2876.00   3125.00   2350.00   1445.00   1170.00    928.00    787.00    730.00   1062.00   1533.00   2686.00
   34 I.SOLTEIRA     6784.00   6136.00   6504.00   4543.00   2929.00   2502.00   1989.00   1880.00   1865.00   2629.00   3401.00   5678.00
   37 BARRA BONIT     530.00    365.00    426.00    270.00    153.00    152.00    114.00    195.00    169.00    266.00    274.00    428.00
   38 A.S.LIMA        593.00    419.00    482.00    325.00    188.00    188.00    145.00    237.00    204.00    297.00    308.00    478.00
   39 IBITINGA        706.00    520.00    586.00    423.00    256.00    257.00    204.00    316.00    272.00    364.00    376.00    577.00
   40 PROMISSAO       852.00    667.00    698.00    495.00    316.00    322.00    261.00    379.00    355.00    442.00    452.00    696.00
   42 NAVANHANDAV     918.00    725.00    743.00    524.00    339.00    347.00    283.00    403.00    387.00    471.00    482.00    744.00
   43 T.IRMAOS        962.00    791.00    772.00    567.00    351.00    359.00    294.00    406.00    394.00    501.00    510.00    778.00
   44 I.SOLT. EQV    7746.00   6927.00   7276.00   5110.00   3280.00   2861.00   2283.00   2286.00   2259.00   3131.00   3912.00   6456.00
   45 JUPIA          8066.00   7562.00   7857.00   5715.00   3823.00   3400.00   2727.00   2607.00   2642.00   3385.00   4171.00   6763.00
   46 P.PRIMAVERA    8740.00   8992.00   9332.00   7003.00   4681.00   4206.00   3496.00   3363.00   3609.00   4003.00   4754.00   7373.00
   47 A.A.LAYDNER     224.00    282.00    252.00    278.00    147.00    145.00    114.00    151.00    137.00    147.00    171.00    201.00
   48 PIRAJU          228.00    290.00    259.00    285.00    151.00    149.00    116.00    154.00    141.00    150.00    175.00    206.00
   49 CHAVANTES       346.00    437.00    422.00    400.00    229.00    220.00    172.00    223.00    222.00    235.00    266.00    305.00
   50 L.N. GARCEZ     449.00    614.00    603.00    551.00    346.00    325.00    260.00    345.00    321.00    307.00    354.00    403.00
   51 CANOAS II       456.00    629.00    616.00    564.00    354.00    333.00    266.00    353.00    329.00    312.00    361.00    410.00
   52 CANOAS I        472.00    659.00    644.00    590.00    373.00    350.00    280.00    373.00    344.00    324.00    375.00    427.00
   54 STA BRANCA      129.00    260.00    192.00    152.00     67.00     78.00     49.00     38.00     49.00    110.00    122.00    123.00
   55 TIBAGI MONT     152.00    310.00    220.00    172.00     77.00     85.00     57.00     49.00     53.00    126.00    141.00    144.00
   57 MAUA            250.00    487.00    347.00    272.00    124.00    136.00     93.00     81.00     86.00    194.00    222.00    229.00
   58 SAO JERONIM     308.00    596.00    454.00    354.00    213.00    196.00    143.00    185.00    199.00    226.00    262.00    276.00
   61 CAPIVARA       1029.00   1800.00   1513.00   1268.00    781.00    725.00    554.00    728.00    725.00    847.00    936.00    955.00
   62 TAQUARUCU      1078.00   1906.00   1578.00   1345.00    836.00    784.00    606.00    786.00    780.00    895.00    990.00   1004.00
   63 ROSANA         1191.00   2138.00   1739.00   1514.00    964.00    922.00    727.00    924.00    911.00   1006.00   1121.00   1125.00
   65 S GDE CHOPI     107.00     92.00    129.00    100.00     41.00     43.00     43.00     28.00    107.00    115.00     99.00    106.00
   66 ITAIPU        12723.00  15730.00  16345.00  13114.00   8274.00   7467.00   6019.00   6217.00   6596.00   7700.00   8723.00  10965.00
   70 JORDAO           17.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     28.00     20.00     17.00
   71 STA CLARA P      76.00     82.00    101.00     78.00     33.00     74.00     60.00     36.00     76.00     80.00     86.00     82.00
   72 FUNDAO           80.00     88.00    105.00     82.00     35.00     77.00     63.00     38.00     81.00     84.00     90.00     86.00
   73 JORDAO           94.00    107.00    120.00     97.00     44.00     88.00     76.00     48.00     99.00     98.00    106.00    102.00
   74 G.B.MUNHOZ      502.00    694.00    555.00    481.00    163.00    242.00    238.00    175.00    465.00    531.00    548.00    520.00
   75 SEGREDO         658.00    911.00    736.00    658.00    242.00    372.00    374.00    258.00    651.00    703.00    732.00    688.00
   76 SEGREDO         574.00    814.00    626.00    571.00    208.00    294.00    308.00    220.00    562.00    615.00    636.00    596.00
   77 SLT.SANTIAG     746.00   1041.00    882.00    791.00    299.00    425.00    437.00    299.00    781.00    818.00    848.00    786.00
   78 SALTO OSORI     777.00   1101.00    928.00    851.00    319.00    437.00    463.00    309.00    827.00    860.00    893.00    824.00
   80 SAO JOAO         44.00     59.00     83.00     64.00     27.00     27.00     28.00     18.00     69.00     57.00     57.00     50.00
   81 BAIXO IGUAC    1042.00   1467.00   1392.00   1221.00    469.00    601.00    630.00    418.00   1217.00   1200.00   1249.00   1140.00
   83 CACHOEIRINH      47.00     63.00     89.00     69.00     28.00     29.00     30.00     19.00     74.00     61.00     61.00     53.00
   85 PAI QUERE        89.00     45.00     61.00     46.00     39.00    153.00    210.00    148.00    287.00    122.00    100.00     96.00
   88 SAO ROQUE       129.00    134.00    136.00    120.00     52.00     62.00    113.00    101.00    424.00    255.00    155.00    131.00
   89 GARIBALDI       272.00    158.00    160.00    145.00     65.00     85.00    160.00    136.00    521.00    324.00    238.00    241.00
   92 ITA             874.00    444.00    498.00    476.00    282.00    562.00    882.00    661.00   1756.00   1168.00    830.00    855.00
   93 PASSO FUNDO      44.00     19.00     21.00     22.00     21.00     38.00     45.00     38.00    112.00     62.00     49.00     54.00
   94 FOZ CHAPECO    1058.00    573.00    641.00    661.00    377.00    680.00   1053.00    814.00   2234.00   1421.00   1039.00   1076.00
   97 MONTE CLARO     206.00     81.00    128.00    116.00    128.00    286.00    518.00    362.00    550.00    295.00    189.00    212.00
   98 CASTRO ALVE     120.00     49.00     81.00     73.00     69.00    211.00    371.00    229.00    340.00    157.00    103.00    114.00
   99 ESPORA           61.00     81.00     83.00     82.00     63.00     59.00     54.00     52.00     55.00     47.00     51.00     64.00
  100 CUBATAO           4.00      6.00      6.00      5.00      4.00      4.00      4.00      3.00      4.00      5.00      4.00      5.00
  101 SALTO PILAO     144.00     74.00     90.00     87.00     31.00     39.00     34.00     45.00    181.00    127.00     96.00    113.00
  102 SAO JOSE        205.00    193.00    168.00    147.00    167.00    162.00    192.00    128.00    287.00    270.00    227.00    254.00
  103 PASSO SAO J     213.00    208.00    173.00    155.00    173.00    167.00    200.00    132.00    296.00    280.00    238.00    264.00
  104 TRAICAO          32.00     42.00     50.00     51.00     29.00     33.00     28.00     29.00     27.00     19.00     18.00     28.00
  109 PEDREIRA         18.00     20.00     25.00     24.00     12.00     15.00     13.00     13.00     12.00     11.00     11.00     16.00
  110 ERNESTINA        27.00     12.00     12.00      9.00     24.00     40.00     43.00     50.00     79.00     34.00     27.00     29.00
  111 PASSO REAL      173.00    144.00    137.00    129.00    145.00    202.00    244.00    194.00    375.00    231.00    185.00    205.00
  112 JACUI           176.00    146.00    139.00    132.00    147.00    204.00    248.00    196.00    379.00    232.00    186.00    208.00
  113 ITAUBA          217.00    182.00    188.00    185.00    184.00    275.00    333.00    249.00    489.00    295.00    240.00    259.00
  114 D.FRANCISCA     264.00    218.00    242.00    244.00    227.00    357.00    425.00    308.00    610.00    357.00    287.00    313.00
  115 G.P.SOUZA        32.00     27.00     29.00     22.00     18.00     18.00     15.00     14.00     10.00     15.00     17.00     24.00
  116 HENRY BORDE       5.00      5.00      6.00      5.00      3.00      3.00      3.00      3.00      3.00      3.00      2.00      5.00
  117 GUARAPIRANG      14.00     22.00     25.00     27.00     17.00     18.00     15.00     16.00     15.00      8.00      7.00     12.00
  118 BILLINGS         18.00     20.00     25.00     24.00     12.00     15.00     13.00     13.00     12.00     11.00     11.00     16.00
  119 BILLINGS         26.00     25.00     31.00     29.00     15.00     18.00     16.00     16.00     15.00     16.00     14.00     23.00
  120 JAGUARI          32.00     22.00     25.00     12.00      9.00     10.00      9.00     12.00      9.00     14.00     15.00     25.00
  121 PARAIBUNA        74.00     90.00     81.00     52.00     40.00     38.00     32.00     39.00     30.00     36.00     39.00     61.00
  122 SANTA BRANC      84.00    104.00    101.00     60.00     45.00     42.00     35.00     43.00     34.00     41.00     44.00     68.00
  123 FUNIL           264.00    280.00    332.00    160.00    102.00     94.00     76.00    103.00     78.00    106.00    124.00    206.00
  125 STA CECILIA     347.00    369.00    456.00    214.00    130.00    116.00     89.00    120.00     93.00    131.00    161.00    268.00
  126 SIMPLICIO       340.00    340.00    340.00    194.00     85.00     55.00     24.00     48.00     41.00     63.00    109.00    262.00
  127 ANTA_ARTF       484.00    455.00    658.00    284.00    175.00    145.00    114.00    138.00    131.00    153.00    199.00    352.00
  129 ANTA            673.00    636.00    850.00    429.00    274.00    234.00    182.00    219.00    195.00    244.00    313.00    535.00
  130 I. POMBOS       751.00    701.00    949.00    476.00    312.00    260.00    216.00    256.00    230.00    270.00    347.00    598.00
  131 NILO PECANH     144.00    144.00    144.00    131.00     87.00     78.00     60.00     77.00     60.00     85.00    106.00    144.00
  132 LAJES            24.00     20.00     31.00     20.00     17.00     15.00     11.00      6.00      6.00      8.00     11.00     20.00
  134 SALTO GRAND     206.00    346.00    208.00    102.00     61.00     47.00     40.00     38.00     37.00     61.00    106.00    195.00
  135 BARRA BRAUN     146.00    188.00    159.00    117.00     89.00     76.00     67.00     59.00     60.00     50.00     73.00    133.00
  141 BAGUARI         725.00    826.00    712.00    382.00    228.00    187.00    159.00    167.00    149.00    245.00    370.00    687.00
  144 MASCARENHAS    1298.00   1293.00   1087.00    649.00    393.00    320.00    278.00    283.00    225.00    398.00    639.00   1242.00
  145 RONDON II       124.00    129.00    147.00    141.00     98.00     79.00     64.00     61.00     54.00     54.00     66.00     95.00
  148 AIMORES        1115.00   1134.00    962.00    560.00    338.00    276.00    238.00    244.00    198.00    346.00    550.00   1065.00
  149 CANDONGA        188.00    131.00    198.00    105.00     57.00     50.00     41.00     51.00     47.00     71.00     97.00    174.00
  154 SAO DOMINGO     105.00    184.00    210.00    165.00    143.00    134.00    125.00    119.00    135.00     81.00     79.00    101.00
  155 RETIRO BAIX     228.00    130.00    158.00     62.00     42.00     36.00     32.00     35.00     39.00     54.00     86.00    189.00
  156 TRES MARIAS    1013.00    635.00    721.00    256.00    148.00    120.00     80.00     72.00     77.00    207.00    392.00    838.00
  158 QUEIMADO         57.00     43.00     36.00     34.00     21.00     16.00     14.00     12.00     11.00     23.00     33.00     59.00
  160 ALTO TIETÊ        8.00      8.00     10.00      6.00      3.00      4.00      4.00      4.00      4.00      5.00      5.00      7.00
  161 E.SOUZA         124.00     98.00    166.00     95.00     47.00     52.00     44.00     56.00     64.00     64.00     66.00    100.00
  164 E.SOUZA          92.00     56.00    116.00     44.00     18.00     19.00     16.00     27.00     37.00     46.00     48.00     74.00
  168 SOBRADINHO     2198.00   1541.00   1865.00   1264.00    614.00    418.00    348.00    352.00    329.00    364.00    546.00   1253.00
  169 SOBRADINHO     3145.00   2124.00   2623.00   1756.00    814.00    573.00    458.00    435.00    398.00    492.00    750.00   1730.00
  171 ITAPARICA F      73.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     10.00     15.00     43.00
  172 ITAPARICA      3169.00   2114.00   2618.00   1880.00    852.00    583.00    461.00    434.00    404.00    489.00    711.00   1688.00
  173 MOXOTO         3169.00   2114.00   2618.00   1880.00    852.00    583.00    461.00    434.00    404.00    489.00    711.00   1688.00
  175 P.AFONSO 12    3169.00   2114.00   2618.00   1880.00    852.00    583.00    461.00    434.00    404.00    489.00    711.00   1688.00
  176 COMP. MOXOT    3169.00   2114.00   2618.00   1880.00    852.00    583.00    461.00    434.00    404.00    489.00    711.00   1688.00
  178 XINGO          3167.00   2075.00   2605.00   1943.00    873.00    588.00    462.00    433.00    407.00    489.00    711.00   1688.00
  183 SA CARVALHO     115.00    147.00    139.00     57.00     37.00     30.00     25.00     27.00     25.00     36.00     57.00    108.00
  187 COUTO MAGAL      86.00    123.00    122.00    101.00     87.00     77.00     68.00     62.00     61.00     49.00     58.00     86.00
  188 ITAPEBI         553.00    513.00    314.00    143.00     64.00     57.00     40.00     33.00     27.00     75.00    191.00    455.00
  190 B. ESPERANC     443.00    606.00    800.00    672.00    307.00    245.00    218.00    195.00    195.00    127.00    163.00    275.00
  191 CANA BRAVA     1108.00   1211.00   1147.00    853.00    370.00    252.00    183.00    144.00    115.00    251.00    424.00    893.00
  196 ROSAL            44.00     56.00     68.00     53.00     27.00     20.00     16.00     18.00     12.00     14.00     25.00     44.00
  197 PICADA           44.00     35.00     48.00     26.00     17.00     15.00     12.00     15.00     14.00     17.00     23.00     38.00
  198 SOBRAGI          89.00     69.00     94.00     55.00     38.00     33.00     31.00     35.00     32.00     36.00     46.00     78.00
  199 ITAOCARA I      788.00    734.00    994.00    498.00    327.00    272.00    226.00    268.00    241.00    282.00    362.00    624.00
  201 TOCOS            17.00     14.00     22.00     14.00     12.00     11.00      8.00      4.00      4.00      6.00      8.00     14.00
  202 LAJES             7.00      6.00      9.00      6.00      5.00      4.00      3.00      2.00      2.00      2.00      3.00      6.00
  203 SANTANA          29.00     21.00     32.00     21.00     18.00     16.00     12.00      6.00      6.00      9.00     13.00     23.00
  204 CACH.CALDEI     440.00   1243.00   1201.00   2389.00   2451.00   1825.00   1466.00    880.00    557.00    303.00    221.00    201.00
  205 CORUMBA IV      165.00    127.00    139.00    123.00     65.00     47.00     36.00     32.00     26.00     56.00     86.00    145.00
  206 MIRANDA         459.00    292.00    252.00    186.00    133.00    109.00     92.00     79.00     75.00    163.00    227.00    390.00
  207 CAPIM BRANC     467.00    293.00    256.00    187.00    134.00    110.00     92.00     80.00     76.00    166.00    231.00    397.00
  209 CORUMBA I       571.00    482.00    527.00    451.00    245.00    172.00    133.00    109.00     93.00    186.00    293.00    498.00
  211 FUNIL-GRAND     448.00    240.00    320.00    147.00    104.00     94.00     77.00     96.00     81.00    158.00    222.00    388.00
  215 BARRA GRAND     232.00     85.00    115.00     86.00     73.00    288.00    394.00    278.00    539.00    290.00    197.00    220.00
  216 CAMPOS NOVO     294.00    190.00    177.00    166.00     76.00     96.00    194.00    153.00    599.00    359.00    263.00    265.00
  217 MACHADINHO      642.00    358.00    359.00    341.00    210.00    450.00    736.00    553.00   1357.00    823.00    582.00    605.00
  220 MONJOLINHO       78.00     32.00     36.00     38.00     36.00     64.00     77.00     66.00    191.00    108.00     86.00     93.00
  222 SALTO CAXIA     964.00   1357.00   1288.00   1130.00    434.00    556.00    583.00    387.00   1126.00   1110.00   1155.00   1054.00
  225 SLT APIACAS     266.00    476.00    511.00    376.00    187.00     75.00     40.00     25.00     20.00     22.00     51.00    163.00
  227 SINOP          1252.00   1889.00   1855.00   1777.00    998.00    648.00    473.00    385.00    367.00    337.00    468.00    899.00
  228 COLIDER        1369.00   1665.00   1692.00   1595.00    888.00    656.00    528.00    431.00    410.00    368.00    511.00    982.00
  229 TELES PIRES    3195.00   5084.00   5321.00   5444.00   2736.00   1436.00    888.00    684.00    550.00    623.00    987.00   2125.00
  230 SAO MANOEL     3224.00   5086.00   5356.00   5492.00   2772.00   1452.00    894.00    688.00    553.00    629.00    996.00   2146.00
  237 BARRA BONIT     574.00    413.00    488.00    325.00    184.00    187.00    144.00    227.00    200.00    291.00    298.00    465.00
  238 A.S.LIMA        637.00    467.00    544.00    380.00    219.00    223.00    175.00    269.00    235.00    322.00    332.00    515.00
  239 IBITINGA        750.00    568.00    648.00    478.00    287.00    292.00    234.00    348.00    303.00    389.00    400.00    614.00
  240 PROMISSAO       896.00    715.00    760.00    550.00    347.00    357.00    291.00    411.00    386.00    467.00    476.00    733.00
  241 SALTO DO RI     201.00    210.00    216.00    202.00    141.00    127.00    109.00    102.00    104.00    140.00    157.00    204.00
  242 NAVANHANDAV     962.00    773.00    805.00    579.00    370.00    382.00    313.00    435.00    418.00    496.00    506.00    781.00
  243 T.IRMAOS       1006.00    839.00    834.00    622.00    382.00    394.00    324.00    438.00    425.00    526.00    534.00    815.00
  244 I.SOLT. EQV    7790.00   6975.00   7338.00   5165.00   3311.00   2896.00   2313.00   2318.00   2290.00   3156.00   3936.00   6493.00
  245 JUPIA          8110.00   7610.00   7919.00   5770.00   3854.00   3435.00   2757.00   2639.00   2673.00   3410.00   4195.00   6800.00
  246 P.PRIMAVERA    8784.00   9040.00   9394.00   7058.00   4712.00   4241.00   3526.00   3395.00   3640.00   4028.00   4778.00   7410.00
  247 CACU            219.00    235.00    255.00    208.00    142.00    112.00     90.00     75.00     77.00    117.00    145.00    210.00
  248 BARRA DOS C     228.00    244.00    266.00    217.00    148.00    117.00     94.00     79.00     80.00    122.00    150.00    218.00
  249 OURINHOS        350.00    445.00    427.00    408.00    233.00    224.00    175.00    227.00    226.00    238.00    270.00    308.00
  251 SERRA FACAO     242.00    214.00    226.00    144.00     75.00     61.00     43.00     42.00     39.00     67.00    110.00    217.00
  252 ITIQUIRA II      71.00     97.00    104.00    109.00     72.00     63.00     53.00     47.00     48.00     37.00     41.00     61.00
  253 SAO SALVADO    1218.00   1404.00   1303.00    991.00    411.00    274.00    198.00    157.00    124.00    270.00    459.00    983.00
  254 P.CAVALO        110.00     31.00     71.00     72.00     29.00     49.00     20.00      9.00      4.00     16.00     39.00    103.00
  255 IRAPE           239.00    280.00    138.00     70.00     19.00     14.00     11.00     11.00     11.00     47.00    132.00    269.00
  257 PEIXE ANGIC    2166.00   2947.00   2531.00   2024.00    709.00    438.00    311.00    251.00    181.00    444.00    786.00   1752.00
  258 MURTA           286.00    310.00    161.00     79.00     25.00     20.00     15.00     14.00     13.00     55.00    155.00    321.00
  259 ITIQUIRA I       71.00     97.00    104.00    109.00     72.00     63.00     53.00     47.00     48.00     37.00     41.00     61.00
  261 FOZ DO RIO      244.00    258.00    286.00    234.00    158.00    126.00    101.00     84.00     85.00    131.00    160.00    234.00
  262 GUILMAN-AMO     105.00    137.00    131.00     51.00     33.00     28.00     22.00     24.00     23.00     34.00     52.00     99.00
  263 P. ESTRELA      214.00    354.00    215.00    106.00     64.00     50.00     42.00     40.00     38.00     63.00    111.00    202.00
  265 TRAIRA           47.00     51.00     42.00     30.00     18.00     15.00     13.00     13.00      9.00     17.00     26.00     47.00
  266 ITAIPU        12767.00  15778.00  16407.00  13169.00   8305.00   7502.00   6049.00   6249.00   6627.00   7725.00   8747.00  11002.00
  267 BAU I           229.00    130.00    196.00    104.00     57.00     50.00     41.00     51.00     47.00     99.00    149.00    224.00
  269 BALBINA         321.00    485.00    309.00    945.00   1064.00    816.00    636.00    309.00    307.00    296.00    296.00    259.00
  270 SERRA MESA      993.00   1013.00    988.00    718.00    330.00    230.00    168.00    132.00    107.00    222.00    376.00    802.00
  271 ESTREITO TO    4732.00   7472.00   7832.00   7060.00   2265.00   1359.00    984.00    866.00    706.00    966.00   1747.00   3278.00
  273 LAJEADO        3090.00   4461.00   3800.00   3240.00   1061.00    622.00    436.00    353.00    248.00    557.00   1034.00   2389.00
  274 S. QUEBRADA    4986.00   8892.00   9075.00   8962.00   3562.00   1566.00    939.00    697.00    526.00   1193.00   1819.00   3667.00
  275 TUCURUI       10408.00  22317.00  25057.00  26298.00  11139.00   4426.00   2464.00   1741.00   1370.00   1695.00   2923.00   5890.00
  276 SANTA ISABE    4556.00  11334.00  13493.00  14636.00   6397.00   2415.00   1287.00    881.00    712.00    623.00   1116.00   2314.00
  277 CURUA-UNA       138.00    240.00    339.00    650.00    323.00    248.00    167.00    124.00    119.00    102.00    104.00    114.00
  278 MANSO           214.00    464.00    279.00    207.00     89.00     66.00     56.00     53.00     60.00     67.00     88.00    159.00
  279 SAMUEL          505.00   1016.00    885.00    923.00    402.00    155.00     56.00     98.00     54.00     58.00    119.00    260.00
  280 COARACY NUN     442.00   1246.00   1203.00   2395.00   2458.00   1833.00   1471.00    884.00    559.00    304.00    221.00    201.00
  281 PONTE PEDRA      60.00     99.00     98.00    102.00     82.00     77.00     73.00     71.00     71.00     48.00     48.00     61.00
  282 OLHO DAGUA       70.00     99.00    102.00    101.00     77.00     72.00     66.00     64.00     67.00     44.00     48.00     66.00
  283 STA CLARA M     122.00    118.00     61.00     72.00     37.00     26.00     16.00      8.00      8.00     44.00     81.00    138.00
  284 14 DE JULHO     212.00     86.00    133.00    122.00    135.00    294.00    537.00    380.00    573.00    305.00    197.00    219.00
  285 JIRAU         24891.00  36498.00  38791.00  35759.00  27309.00  18713.00   9712.00   6296.00   4630.00   6090.00  10123.00  17181.00
  286 QUEBRA QUEI      72.00     45.00     56.00     59.00     26.00     41.00     38.00     34.00     83.00     89.00     69.00     73.00
  287 STO ANTONIO   25259.00  36737.00  39355.00  36619.00  27981.00  19305.00  10037.00   6429.00   4716.00   6180.00  10270.00  17431.00
  288 PIMENTAL       7776.00  12580.00  16722.00  19519.00  13203.00   5806.00   2385.00   1300.00    988.00    990.00   1708.00   3718.00
  289 ITUMIRIM         62.00     65.00     67.00     66.00     51.00     48.00     44.00     42.00     44.00     37.00     42.00     55.00
  290 STO ANT JAR     571.00    908.00   1098.00   2797.00   3300.00   2591.00   1865.00   1132.00    732.00    375.00    278.00    304.00
  291 DARDANELOS      526.00    469.00    582.00    901.00    471.00    230.00    118.00     70.00     57.00     51.00     94.00    244.00
  292 BELO MONTE     6676.00  10980.00  12722.00  11519.00   9203.00   3806.00   1185.00    400.00    238.00    290.00    908.00   2818.00
  293 BELO MONTE     1692.00   2481.00   5171.00   9366.00   4924.00   2406.00   1367.00    991.00    819.00    681.00    840.00   1129.00
  294 SALTO           185.00    196.00    199.00    180.00    129.00    116.00    100.00     94.00     96.00    129.00    144.00    187.00
  295 JAURU            68.00     92.00     93.00     89.00     79.00     72.00     68.00     66.00     67.00     54.00     53.00     67.00
  296 GUAPORE          37.00     43.00     43.00     40.00     38.00     34.00     32.00     31.00     31.00     29.00     31.00     35.00
  297 FERREIRA GO     445.00   1255.00   1212.00   2413.00   2477.00   1850.00   1484.00    892.00    565.00    306.00    223.00    204.00
  298 STA CECILIA     160.00    160.00    160.00    124.00     81.00     73.00     56.00     75.00     58.00     82.00    101.00    160.00
  299 I. POMBOS       562.00    520.00    757.00    331.00    213.00    171.00    148.00    175.00    166.00    179.00    233.00    415.00
  300 VIGARIO           0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  301 BILLINGS AN      21.00     20.00     25.00     24.00     12.00     15.00     13.00     13.00     12.00     13.00     12.00     18.00
  302 PIMENTAL AR    1100.00   1600.00   4000.00   8000.00   4000.00   2000.00   1200.00    900.00    750.00    700.00    800.00    900.00
  303 FONTES           45.00     40.00     43.00     17.00     17.00     15.00     11.00      6.00      6.00      8.00     11.00     42.00
  304 SANTANA           0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  306 P. PASSOS       189.00    184.00    187.00    148.00    104.00     93.00     71.00     83.00     66.00     93.00    117.00    186.00
  313 ITAGUACU        225.00    358.00    362.00    280.00    196.00    154.00    129.00    112.00    115.00    102.00    123.00    198.00
  314 ITAOCARA I      651.00    553.00    802.00    353.00    228.00    183.00    158.00    187.00    177.00    194.00    260.00    483.00
  315 SANTANA         172.00    167.00    170.00    131.00     87.00     78.00     60.00     77.00     60.00     85.00    106.00    169.00
  316 VIGARIO         172.00    167.00    170.00    131.00     87.00     78.00     60.00     77.00     60.00     85.00    106.00    169.00
  317 TOCOS             0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  318 HENRY BORDE      49.00     53.00     68.00     60.00     34.00     38.00     33.00     35.00     34.00     28.00     26.00     42.00
  319 BILLINGS         41.00     48.00     62.00     55.00     31.00     35.00     30.00     32.00     31.00     24.00     23.00     35.00
  320 BILLINGS_PE      22.00     25.00     31.00     29.00     15.00     18.00     16.00     16.00     15.00     13.00     13.00     19.00
